predicted,real
49,55
26,39
38,23
16,5
12,12
57,67
15,10
29,4
44,31
27,53
31,43
19,38
30,17
34,6
24,37
16,13
16,12
19,14
40,44
30,21
44,24
22,21
38,4
32,60
18,16
20,5
37,3
14,15
38,61
12,8
39,64
24,35
41,47
45,46
45,47
34,63
15,12
11,6
19,13
60,84
29,35
13,32
32,23
22,19
14,9
29,45
19,16
50,86
51,49
38,35
11,9
58,103
23,61
18,15
37,61
22,43
35,67
33,52
13,6
24,43
25,21
15,22
16,19
10,1
34,28
21,55
45,14
19,45
40,53
13,19
40,57
48,6
34,71
33,40
11,5
19,48
16,23
38,61
38,21
19,15
23,20
31,30
42,48
15,6
16,13
12,6
26,10
45,55
39,68
60,33
16,16
35,31
27,24
32,44
38,45
37,60
17,53
46,67
30,44
15,17
14,1
46,46
44,38
30,56
13,11
18,8
33,25
22,9
38,39
47,43
42,42
23,21
38,14
42,42
15,3
41,35
20,53
23,1
12,4
21,4
29,38
30,3
18,4
19,20
40,45
11,29
41,18
12,3
29,51
38,24
40,24
14,17
46,36
31,34
14,24
10,19
32,16
16,38
38,51
25,31
41,18
46,49
18,48
20,6
48,16
38,32
44,37
26,23
53,75
38,56
27,20
12,4
35,27
29,47
45,49
37,13
29,28
22,47
11,11
13,6
43,61
45,51
37,15
18,4
17,73
22,44
39,40
29,16
55,25
19,29
36,79
32,23
15,28
47,45
36,52
36,25
16,44
31,31
45,55
58,67
20,23
49,50
21,9
46,76
23,44
36,19
23,35
24,52
27,5
13,48
28,33
22,21
14,16
46,11
24,32
20,23
41,53
34,49
16,26
25,6
11,53
11,14
33,23
18,42
27,10
41,1
32,6
31,38
42,1
23,58
33,51
27,13
13,39
25,46
25,4
34,27
42,39
28,68
32,47
31,53
33,20
40,57
23,73
30,26
31,24
13,14
28,47
35,57
33,66
43,69
24,45
30,20
25,69
12,12
17,1
29,56
43,23
34,36
15,1
43,63
17,9
40,44
17,5
33,35
43,41
47,72
12,46
14,11
12,12
13,1
47,40
17,24
21,6
43,41
47,55
35,59
13,33
44,56
